videoId,textDisplay,cleanedData,likeCount,publishedAt,updatedAt,commentId
wUn05hdkhjM,This movie is going to be &quot;Legen&quot;  wait for it<br><br>&quot;DARY&quot; .,"this movie is going to be legen  wait for it

dary ",1,2017-03-16T09:04:58Z,2017-03-16T09:04:58Z,UgjpLlhv0J2s6XgCoAEC
wUn05hdkhjM,"Tony Stark, Loki, and Groot are the reasons why the MCU has no stakes.",tony stark loki and groot are the reasons why the mcu has no stakes,1,2017-03-15T13:14:44Z,2017-03-15T13:14:44Z,UghrLUYYZ94mgXgCoAEC
wUn05hdkhjM,Song?,song,0,2017-03-15T04:23:16Z,2017-03-15T04:23:16Z,UggoWWigYSRp3ngCoAEC
wUn05hdkhjM,What is the song in this trailer?,what is the song in this trailer,0,2017-03-15T01:49:23Z,2017-03-15T01:49:23Z,UgiE3_qprn3K6HgCoAEC
wUn05hdkhjM,"This movie is gonna pwn. Kinda odd they made &quot;Ego:The Living Planet&quot; Peter&#39;s Dad as apposed to J-Son from the comics. But at least they got a great actor in Kurt Russel to play him, hopefully he&#39;ll turn into his Planeet form sometime in the movie.",this movie is gonna pwn kinda odd they made egothe living planet peters dad as apposed to json from the comics but at least they got a great actor in kurt russel to play him hopefully hell turn into his planeet form sometime in the movie,0,2017-03-14T22:11:54Z,2017-03-14T22:11:54Z,UgiA224GYyJgi3gCoAEC
wUn05hdkhjM,Gilliaaaaan!!!!!!,gilliaaaaan,0,2017-03-14T14:42:00Z,2017-03-14T14:42:00Z,UghHxa0STa_BkngCoAEC
wUn05hdkhjM,"Hey guys, latest movies of 2017 are up <b>Watch</b> <b>it</b> <b>here</b> - wholemovieonline,com",hey guys latest movies of 2017 are up watch it here  wholemovieonlinecom,0,2017-03-14T04:34:58Z,2017-03-14T04:34:58Z,Ugi2yR9Afd4buXgCoAEC
wUn05hdkhjM,I could watch this trailer all day can&#39;t wait to see it in theaters,i could watch this trailer all day cant wait to see it in theaters,1,2017-03-14T03:35:18Z,2017-03-14T03:35:18Z,Ughoi5jsoNxM3XgCoAEC
wUn05hdkhjM,I seriously cannot wait for this to come out.,i seriously cannot wait for this to come out,5,2017-03-14T02:11:42Z,2017-03-14T02:11:42Z,Ugg84fzcpg-kMXgCoAEC
wUn05hdkhjM,&quot;Die spaceship!&quot;,die spaceship,1,2017-03-13T23:53:46Z,2017-03-13T23:53:46Z,Ugi3cRnQhdo9yngCoAEC
wUn05hdkhjM,<b>Meanwhile with DC</b> <br>DC: <b>I WANNA BE MARVEL!! I WANNA! I WANNA! I WANNA! I WANNA! I WANNA! I WANNA! I WANNA! I WANNA!</b>,"meanwhile with dc 
dc i wanna be marvel i wanna i wanna i wanna i wanna i wanna i wanna i wanna i wanna",1,2017-03-13T23:45:23Z,2017-03-13T23:45:23Z,UgjnNNB3eNfvzHgCoAEC
