Video ID,Comment,Comment ID,Published At,Updated At,Likes
6ZfuNTqbHE8,Still gives me goosebumps,UgwK5GjPTCMeC9cWGPR4AaABAg,2023-04-01T23:15:24Z,2023-04-01T23:15:24Z,0
6ZfuNTqbHE8,Feels like this came out 2 months ago,UgwcevqtxJTiZup1ZRl4AaABAg,2023-04-01T22:30:00Z,2023-04-01T22:30:00Z,0
6ZfuNTqbHE8,What am I doing here...💗🙂,UgzhmVnj4ngzje4H4w14AaABAg,2023-04-01T17:33:03Z,2023-04-01T17:33:03Z,0
6ZfuNTqbHE8,Only movie where avengers lost,Ugy88zV0JCuqC-X-CJp4AaABAg,2023-04-01T13:44:53Z,2023-04-01T13:44:53Z,0
6ZfuNTqbHE8,back when the MCU hit its peak. it'll never be the same again,UgwsiFoyT76eghc5JW94AaABAg,2023-04-01T11:52:35Z,2023-04-01T11:52:35Z,0
6ZfuNTqbHE8,"I remember being the first in my class to see this, I was like no way and told everyone the trailer was out, our teacher put it up on the projector and we all took a break from class to watch it",Ugyjj-2C2f-OKRYWKrF4AaABAg,2023-03-31T21:42:00Z,2023-03-31T21:42:00Z,2
6ZfuNTqbHE8,Who's here after she hulk🤢,UgzWWJtfD4BLYN_rDWF4AaABAg,2023-03-31T12:29:34Z,2023-03-31T12:29:34Z,2
6ZfuNTqbHE8,Russo brothers,UgzQ17XkzgCG1T1o9g54AaABAg,2023-03-31T03:38:52Z,2023-03-31T03:38:52Z,0
6ZfuNTqbHE8,When Thanos said fun isn't something you consider when balancing half of the universe but this brings a smile to my face my spine tingled,UgwRjX-QDrN3TY0auZB4AaABAg,2023-03-31T02:18:27Z,2023-03-31T02:18:27Z,1
6ZfuNTqbHE8,You're not the only one watching the trailer of this magnum opus in 2023...,UgzsOJeV7iX1uV5ZcR94AaABAg,2023-03-30T14:25:12Z,2023-03-30T14:25:12Z,5
6ZfuNTqbHE8,We were so young then.....,UgzINCmT2M8-dM-hQ1R4AaABAg,2023-03-30T07:54:08Z,2023-03-30T07:54:08Z,4
6ZfuNTqbHE8,Till this dayy I think it's the best trailer ever made,UgyeMTQs-l0XdKPbLdF4AaABAg,2023-03-30T05:20:22Z,2023-03-30T05:20:22Z,1
6ZfuNTqbHE8,Funny that when they show the Guardians of the galaxy you can barely see Drax 😂😂😂,UgzFgwD3WOM06QvJPkN4AaABAg,2023-03-29T15:06:58Z,2023-03-29T15:06:58Z,0
6ZfuNTqbHE8,I can't live with Marvel's failure....where did it bring me....back to this trailer,Ugw7GlYQmQh8yRgYXIV4AaABAg,2023-03-29T02:44:21Z,2023-03-29T02:44:21Z,5
